Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,3.9,3.4,4.1,6.3,,,9.8,6.6,6.7,6.7
Albania,4.2,7.0,6.9,5.3,4.2,5.0,3.1,3.5,3.1,2.9,4.3,4.8,5.4,4.3,4.0,2.2,2.7,2.0,2.3
Algeria,,,,2.0,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5,1.4,,,
American Samoa,,1.7,11.8,5.0,6.7,10.1,6.8,1.7,5.2,3.5,8.9,9.0,3.6,5.4,5.4,7.2,5.4,,
Andorra,,,,,1.3,,,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,,,
Angola,,,,,,,,,,,,4.4,4.8,,,,,,
Anguilla,8.9,0.0,17.0,16.7,8.2,0.0,39.5,31.1,7.7,7.5,0.0,0.0,36.2,7.2,28.3,,,,
Antigua and Barbuda,6.6,9.1,6.4,6.3,5.0,3.7,13.3,20.2,18.7,18.4,6.8,,11.1,,,,,,
Argentina,,,,,,,,5.3,5.8,,,,,,7.6,6.6,6.0,5.2,5.3
Armenia,3.0,2.9,2.3,2.5,2.8,1.9,2.7,2.6,3.3,3.4,1.9,2.5,2.3,2.2,2.5,2.6,3.0,2.4,1.7
Aruba,,4.3,5.3,4.1,2.0,6.0,5.0,3.0,4.9,3.9,3.9,2.0,3.9,5.8,1.9,,,,
Australia,1.9,1.8,1.9,1.5,1.3,1.3,1.4,1.2,1.2,1.2,1.0,1.1,1.1,1.1,1.0,1.0,0.9,0.8,0.9
Austria,1.0,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.7,0.6,0.7,0.9,0.9,0.7,0.5,0.5,0.7,0.8,1.0
Azerbaijan,2.8,2.7,2.6,2.2,2.4,2.2,2.2,2.2,2.2,,2.3,,2.2,2.4,2.5,2.3,2.1,2.0,2.2
Bahamas,24.8,14.2,16.9,16.0,13.8,16.0,18.4,23.1,21.2,24.9,26.5,35.3,30.5,32.4,33.5,39.0,29.4,32.0,
Bahrain,,1.3,1.1,0.4,0.8,0.4,0.7,0.4,0.5,1.1,0.9,0.5,0.3,0.4,0.5,,,,
Bangladesh,2.6,2.8,2.6,2.6,2.8,2.6,3.0,2.7,2.8,2.9,2.7,2.7,2.7,2.9,2.9,2.6,2.3,2.2,2.4
Barbados,7.4,9.2,9.1,12.0,8.0,10.5,12.6,9.0,8.2,6.8,11.0,9.5,7.8,8.4,8.8,10.9,7.7,10.5,9.8
Belarus,10.3,9.9,10.1,9.1,8.5,8.6,7.7,6.8,5.8,5.2,4.3,4.0,3.6,3.5,3.6,3.5,3.3,2.5,2.4
Belgium#,2.1,2.7,3.1,2.2,2.6,2.1,2.1,2.0,1.9,1.7,1.7,1.9,1.8,1.8,1.9,2.0,1.5,1.7,
Belize,16.6,25.1,33.2,24.9,28.6,28.5,31.6,32.4,33.6,30.8,40.0,37.5,42.9,28.6,34.8,33.0,37.5,37.8,
Benin,,,,,,,,,,,,,,,,,,1.1,
Bermuda,0.0,4.7,1.5,3.1,1.5,3.1,4.6,4.6,7.7,9.3,10.9,12.6,9.5,8.0,6.4,6.5,13.0,8.1,
